,premise,hypothesis,label
317192,그들은 적절한 인가를 필요로 할 것이고 경우에 따라서는 그들이 국가에서 수출될 경우 허가를 필요로 할 것이다,그것들을 수출하는 것은 길고 어려운 과정입니다.,neutral
323007,그들은 적절한 인가를 필요로 할 것이고 경우에 따라서는 그들이 국가에서 수출될 경우 허가를 필요로 할 것이다,그것들을 수출하려면 인가와 허가가 필요할 것이다.,entailment
367738,그들은 적절한 인가를 필요로 할 것이고 경우에 따라서는 그들이 국가에서 수출될 경우 허가를 필요로 할 것이다,그들을 국외로 데리고 나가려면 서류 작업이 필요하지 않다.,contradiction
130613,이 법은 현재 책의 비율은 거리에 따라 다르지 않을 것이라고 명시하고 있다,이 법은 책의 비율은 거리에 따라 다르지 않을 것이라고 명시하고 있다.,entailment
317176,이 법은 현재 책의 비율은 거리에 따라 다르지 않을 것이라고 명시하고 있다,이 법은 책의 비율은 거리에 따라 크게 달라질 것이라고 말한다.,contradiction
357601,이 법은 현재 책의 비율은 거리에 따라 다르지 않을 것이라고 명시하고 있다,이 법은 책의 비율은 위치에 따라 달라질 수 있다고 말한다.,neutral
23782,이를 위해 OPP는 우리의 전략적 이니셔티브의 효과를 결정하기 위한 시스템을 구축했다,OPP는 다른 기능에 대해 다른 시스템을 구축하고 적용하는 것을 전문으로 한다.,neutral
72551,이를 위해 OPP는 우리의 전략적 이니셔티브의 효과를 결정하기 위한 시스템을 구축했다,OPP는 우리의 전략적 이니셔티브의 효과에 관심이 없다.,contradiction
111940,이를 위해 OPP는 우리의 전략적 이니셔티브의 효과를 결정하기 위한 시스템을 구축했다,OPP는 우리의 전략적 이니셔티브의 효과를 결정하는 것을 목표로 한다.,entailment
141336,대신 그들은 자신을 대표하는 방법에 대한 수업을 듣는다,그들은 자신을 표현하는 법을 배우지 않는다.,contradiction
353484,대신 그들은 자신을 대표하는 방법에 대한 수업을 듣는다,그들은 자신을 표현하는 법을 빨리 배운다.,entailment
363104,대신 그들은 자신을 대표하는 방법에 대한 수업을 듣는다,그들은 민사 법정에서 자신을 대표하는 법을 빨리 배운다.,neutral
